AFG,0,0,0,0,1996,271,37,25,2
AFG,0,0,0,0,2004,301,40,27,5
AFG,0,0,0,0,2016,306,42,28,3
AFG,0,0,0,0,2020,339,50,33,5
AFG,0,0,0,0,2024,329,48,32,7
ALB,0,0,0,0,1996,271,37,25,9
ALB,0,0,0,0,2000,300,40,27,5
ALB,0,0,0,0,2004,301,40,27,7
ALB,0,0,0,0,2008,302,42,27,12
ALB,0,0,0,0,2012,302,40,26,10
ALB,0,0,0,0,2016,306,42,28,6
ALB,0,0,0,0,2020,339,50,33,10
ALG,0,0,0,0,2004,301,40,27,71
ALG,0,0,0,0,2020,339,50,33,45
ARM,0,0,0,0,2004,301,40,27,19
AUT,0,0,0,0,2012,302,40,26,90
BAH,0,0,0,0,2024,329,48,32,21
BAR,0,0,0,0,1996,271,37,25,22
BAR,0,0,0,0,2004,301,40,27,15
BAR,0,0,0,0,2008,302,42,27,10
BAR,0,0,0,0,2012,302,40,26,8
BAR,0,0,0,0,2016,306,42,28,13
BAR,0,0,0,0,2020,339,50,33,9
BAR,0,0,0,0,2024,329,48,32,4
BDI,0,0,0,0,2000,300,40,27,6
BDI,0,0,0,0,2004,301,40,27,7
BDI,0,0,0,0,2008,302,42,27,3
BDI,0,0,0,0,2012,302,40,26,6
BDI,0,0,0,0,2020,339,50,33,7
BDI,0,0,0,0,2024,329,48,32,8
BER,0,0,0,0,1996,271,37,25,10
BER,0,0,0,0,2000,300,40,27,7
BER,0,0,0,0,2004,301,40,27,10
BER,0,0,0,0,2008,302,42,27,6
BER,0,0,0,0,2012,302,40,26,8
BER,0,0,0,0,2016,306,42,28,8
BER,0,0,0,0,2024,329,48,32,8
BOT,0,0,0,0,1996,271,37,25,7
BOT,0,0,0,0,2000,300,40,27,9
BOT,0,0,0,0,2004,301,40,27,12
BOT,0,0,0,0,2008,302,42,27,11
BOT,0,0,0,0,2016,306,42,28,14
BRN,0,0,0,0,1996,271,37,25,5
BRN,0,0,0,0,2000,300,40,27,4
BRN,0,0,0,0,2004,301,40,27,10
BRN,0,0,0,0,2008,302,42,27,15
BUR,0,0,0,0,1996,271,37,25,5
BUR,0,0,0,0,2000,300,40,27,4
BUR,0,0,0,0,2004,301,40,27,5
BUR,0,0,0,0,2008,302,42,27,6
BUR,0,0,0,0,2012,302,40,26,5
BUR,0,0,0,0,2016,306,42,28,5
BUR,0,0,0,0,2024,329,48,32,8
CHI,0,0,0,0,1996,271,37,25,24
CHI,0,0,0,0,2012,302,40,26,44
CHI,0,0,0,0,2016,306,42,28,47
CHI,0,0,0,0,2020,339,50,33,63
CIV,0,0,0,0,1996,271,37,25,13
CIV,0,0,0,0,2000,300,40,27,18
CIV,0,0,0,0,2004,301,40,27,5
CIV,0,0,0,0,2008,302,42,27,22
CIV,0,0,0,0,2012,302,40,26,10
CMR,0,0,0,0,1996,271,37,25,19
CMR,0,0,0,0,2012,302,40,26,32
CMR,0,0,0,0,2016,306,42,28,22
CMR,0,0,0,0,2020,339,50,33,12
CMR,0,0,0,0,2024,329,48,32,6
COL,0,0,0,0,1996,271,37,25,62
CPV,0,0,0,0,1996,271,37,25,3
CPV,0,0,0,0,2000,300,40,27,2
CPV,0,0,0,0,2004,301,40,27,3
CPV,0,0,0,0,2008,302,42,27,2
CPV,0,0,0,0,2012,302,40,26,3
CPV,0,0,0,0,2016,306,42,28,5
CPV,0,0,0,0,2020,339,50,33,6
CRC,0,0,0,0,2004,301,40,27,21
CRC,0,0,0,0,2008,302,42,27,8
CRC,0,0,0,0,2012,302,40,26,11
CRC,0,0,0,0,2016,306,42,28,12
CRC,0,0,0,0,2020,339,50,33,18
CRC,0,0,0,0,2024,329,48,32,6
CYP,0,0,0,0,1996,271,37,25,24
CYP,0,0,0,0,2000,300,40,27,24
CYP,0,0,0,0,2004,301,40,27,21
CYP,0,0,0,0,2008,302,42,27,18
CYP,0,0,0,0,2016,306,42,28,21
CYP,0,0,0,0,2020,339,50,33,23
DMA,0,0,0,0,1996,271,37,25,6
DMA,0,0,0,0,2000,300,40,27,4
DMA,0,0,0,0,2004,301,40,27,2
DMA,0,0,0,0,2008,302,42,27,2
DMA,0,0,0,0,2012,302,40,26,2
DMA,0,0,0,0,2016,306,42,28,2
DMA,0,0,0,0,2020,339,50,33,2
DOM,0,0,0,0,1996,271,37,25,16
DOM,0,0,0,0,2000,300,40,27,13
ECU,0,0,0,0,2000,300,40,27,11
ECU,0,0,0,0,2004,301,40,27,18
ECU,0,0,0,0,2012,302,40,26,36
ECU,0,0,0,0,2016,306,42,28,40
EGY,0,0,0,0,1996,271,37,25,33
EGY,0,0,0,0,2000,300,40,27,103
EOR,0,0,0,0,2020,339,50,33,35
ERI,0,0,0,0,2000,300,40,27,3
ERI,0,0,0,0,2008,302,42,27,11
ERI,0,0,0,0,2012,302,40,26,12
ERI,0,0,0,0,2016,306,42,28,12
ERI,0,0,0,0,2020,339,50,33,14
ERI,0,0,0,0,2024,329,48,32,12
EST,0,0,0,0,1996,271,37,25,52
EST,0,0,0,0,2024,329,48,32,26
FIJ,0,0,0,0,1996,271,37,25,21
FIJ,0,0,0,0,2000,300,40,27,9
FIJ,0,0,0,0,2004,301,40,27,9
FIJ,0,0,0,0,2008,302,42,27,6
FIJ,0,0,0,0,2012,302,40,26,9
FIN,0,0,0,0,2024,329,48,32,62
GAB,0,0,0,0,1996,271,37,25,9
GAB,0,0,0,0,2000,300,40,27,6
GAB,0,0,0,0,2004,301,40,27,5
GAB,0,0,0,0,2008,302,42,27,4
GAB,0,0,0,0,2016,306,42,28,6
GAB,0,0,0,0,2020,339,50,33,5
GAB,0,0,0,0,2024,329,48,32,5
GHA,0,0,0,0,1996,271,37,25,40
GHA,0,0,0,0,2000,300,40,27,28
GHA,0,0,0,0,2004,301,40,27,29
GHA,0,0,0,0,2008,302,42,27,9
GHA,0,0,0,0,2012,302,40,26,7
