AFG,1936,0,0,0,0,16,1,129,14,0
AFG,1948,0,0,0,0,25,2,136,9,0
AFG,1956,0,0,0,0,12,3,151,2,0
AFG,1960,0,0,0,0,16,4,150,4,0
AFG,1964,0,0,0,0,8,5,163,13,0
AFG,1968,0,0,0,0,5,6,172,13,0
AFG,1972,0,0,0,0,8,7,195,23,0
AFG,1980,0,0,0,0,11,8,203,5,0
AFG,1988,0,0,0,0,5,9,237,17,0
AFG,1996,0,0,0,0,2,10,271,16,0
AFG,2004,0,0,0,0,5,11,301,3,0
AFG,2008,0,0,1,1,4,12,302,5,1
AFG,2012,0,0,1,1,6,13,302,3,0
AFG,2016,0,0,0,0,3,14,306,5,0
AFG,2020,0,0,0,0,5,15,339,34,0
AFG,2024,0,0,0,0,7,16,329,6,0
AHO,1952,0,0,0,0,11,1,149,13,0
AHO,1960,0,0,0,0,5,2,150,4,0
AHO,1964,0,0,0,0,4,3,163,13,0
AHO,1968,0,0,0,0,5,4,172,13,0
AHO,1972,0,0,0,0,2,5,195,23,0
AHO,1976,0,0,0,0,4,6,198,13,0
AHO,1984,0,0,0,0,13,7,221,18,0
AHO,1988,0,1,0,1,4,8,237,17,1
AHO,1992,0,0,0,0,4,9,257,20,0
AHO,1996,0,0,0,0,7,10,271,16,0
AHO,2000,0,0,0,0,8,11,300,33,0
AHO,2004,0,0,0,0,3,12,301,3,0
AHO,2008,0,0,0,0,4,13,302,5,0
AIN,2024,1,3,1,5,45,1,329,6,1
ALB,1972,0,0,0,0,5,1,195,23,0
ALB,1992,0,0,0,0,9,2,257,20,0
ALB,1996,0,0,0,0,9,3,271,16,0
ALB,2000,0,0,0,0,5,4,300,33,0
ALB,2004,0,0,0,0,7,5,301,3,0
ALB,2008,0,0,0,0,12,6,302,5,0
ALB,2012,0,0,0,0,10,7,302,3,0
ALB,2016,0,0,0,0,6,8,306,5,0
ALB,2020,0,0,0,0,10,9,339,34,0
ALB,2024,0,0,2,2,9,10,329,6,1
ALG,1964,0,0,0,0,7,1,163,13,0
ALG,1968,0,0,0,0,9,2,172,13,0
ALG,1972,0,0,0,0,7,3,195,23,0
ALG,1980,0,0,0,0,63,4,203,5,0
ALG,1984,0,0,2,2,33,5,221,18,1
ALG,1988,0,0,0,0,45,6,237,17,0
ALG,1992,1,0,1,2,36,7,257,20,0
ALG,1996,2,0,1,3,47,8,271,16,0
ALG,2000,1,1,3,5,51,9,300,33,0
ALG,2004,0,0,0,0,71,10,301,3,0
ALG,2008,0,1,1,2,57,11,302,5,0
ALG,2012,1,0,0,1,39,12,302,3,0
ALG,2016,0,2,0,2,74,13,306,5,0
ALG,2020,0,0,0,0,45,14,339,34,0
ALG,2024,2,0,1,3,55,15,329,6,0
AND,1976,0,0,0,0,3,1,198,13,0
AND,1980,0,0,0,0,2,2,203,5,0
AND,1984,0,0,0,0,2,3,221,18,0
AND,1988,0,0,0,0,4,4,237,17,0
AND,1992,0,0,0,0,8,5,257,20,0
AND,1996,0,0,0,0,8,6,271,16,0
AND,2000,0,0,0,0,5,7,300,33,0
AND,2004,0,0,0,0,6,8,301,3,0
AND,2008,0,0,0,0,5,9,302,5,0
AND,2012,0,0,0,0,6,10,302,3,0
AND,2016,0,0,0,0,4,11,306,5,0
AND,2020,0,0,0,0,3,12,339,34,0
AND,2024,0,0,0,0,4,13,329,6,0
ANG,1980,0,0,0,0,17,1,203,5,0
ANG,1988,0,0,0,0,33,2,237,17,0
ANG,1992,0,0,0,0,33,3,257,20,0
ANG,1996,0,0,0,0,30,4,271,16,0
ANG,2000,0,0,0,0,30,5,300,33,0
ANG,2004,0,0,0,0,30,6,301,3,0
ANG,2008,0,0,0,0,33,7,302,5,0
ANG,2012,0,0,0,0,35,8,302,3,0
ANG,2016,0,0,0,0,26,9,306,5,0
ANG,2020,0,0,0,0,20,10,339,34,0
ANG,2024,0,0,0,0,26,11,329,6,0
ANT,1976,0,0,0,0,17,1,198,13,0
ANT,1984,0,0,0,0,27,2,221,18,0
ANT,1988,0,0,0,0,25,3,237,17,0
ANT,1992,0,0,0,0,18,4,257,20,0
ANT,1996,0,0,0,0,19,5,271,16,0
ANT,2000,0,0,0,0,4,6,300,33,0
ANT,2004,0,0,0,0,5,7,301,3,0
ANT,2008,0,0,0,0,5,8,302,5,0
ANT,2012,0,0,0,0,4,9,302,3,0
ANT,2016,0,0,0,0,9,10,306,5,0
ANT,2020,0,0,0,0,6,11,339,34,0
ANT,2024,0,0,0,0,5,12,329,6,0
ANZ,1908,1,2,2,5,34,1,110,44,1
ANZ,1912,2,2,3,7,35,2,102,26,0
ARG,1900,0,0,0,0,1,1,97,65,0
ARG,1908,0,0,0,0,1,2,110,44,0
ARG,1920,0,0,0,0,1,3,156,58,0
ARG,1924,1,3,2,6,105,4,126,12,1
ARG,1928,3,3,1,7,79,5,109,2,0
ARG,1932,3,1,0,4,47,6,117,9,0
ARG,1936,2,2,3,7,64,7,129,14,0
ARG,1948,3,3,1,7,291,8,136,9,0
ARG,1952,1,2,2,5,173,9,149,13,0
ARG,1956,0,1,1,2,44,10,151,2,0
ARG,1960,0,1,1,2,114,11,150,4,0
ARG,1964,0,1,0,1,148,12,163,13,0
ARG,1968,0,0,2,2,132,13,172,13,0
ARG,1972,0,1,0,1,123,14,195,23,0
ARG,1976,0,0,0,0,106,15,198,13,0
ARG,1984,0,0,0,0,115,16,221,18,0
ARG,1988,0,1,1,2,123,17,237,17,0
ARG,1992,0,0,1,1,110,18,257,20,0
ARG,1996,0,2,1,3,204,19,271,16,0
ARG,2000,0,2,2,4,149,20,300,33,0
ARG,2004,2,0,4,6,136,21,301,3,0
ARG,2008,2,0,4,6,100,22,302,5,0
ARG,2012,1,1,2,4,133,23,302,3,0
ARG,2016,3,1,0,4,214,24,306,5,0
ARG,2020,0,1,2,3,168,25,339,34,0
ARG,2024,1,1,1,3,138,26,329,6,0
ARM,1996,1,1,0,2,38,1,271,16,1
ARM,2000,0,0,1,1,26,2,300,33,0
ARM,2004,0,0,0,0,19,3,301,3,0
ARM,2008,0,0,6,6,26,4,302,5,0
ARM,2012,0,1,2,3,31,5,302,3,0
ARM,2016,1,3,0,4,34,6,306,5,0
ARM,2020,0,2,2,4,19,7,339,34,0
ARM,2024,0,3,1,4,17,8,329,6,0
ARU,1988,0,0,0,0,12,1,237,17,0
ARU,1992,0,0,0,0,5,2,257,20,0
ARU,1996,0,0,0,0,3,3,271,16,0
ARU,2000,0,0,0,0,5,4,300,33,0
ARU,2004,0,0,0,0,4,5,301,3,0
ARU,2008,0,0,0,0,2,6,302,5,0
ARU,2012,0,0,0,0,4,7,302,3,0
ARU,2016,0,0,0,0,7,8,306,5,0
ARU,2020,0,0,0,0,4,9,339,34,0
ARU,2024,0,0,0,0,7,10,329,6,0
ASA,1988,0,0,0,0,6,1,237,17,0
ASA,1992,0,0,0,0,3,2,257,20,0
ASA,1996,0,0,0,0,7,3,271,16,0
ASA,2000,0,0,0,0,4,4,300,33,0
